Date,Open,High,Low,Close,Adj Close,Volume,New Price
15/6/2020,3.62,3.67,3.42,3.48,2.734909,2600,0
16/6/2020,3.46,3.46,3.46,3.46,2.719191,200,1
17/6/2020,3.55,3.55,3.55,3.55,2.789921,400,1
18/6/2020,3.55,3.69,3.55,3.69,2.899946,204400,1
19/6/2020,4.08,4.08,3.95,4,3.143573,3100,1
22/6/2020,4.14,4.14,4.14,4.14,3.253598,500,0
23/6/2020,3.58,4.23,3.58,3.67,2.884229,6700,1
24/6/2020,3.77,7,3.63,5.3,4.165235,10000,1
25/6/2020,3.86,7.74,3.86,5.78,4.542464,132200,0
26/6/2020,3.96,4.63,3.96,4.28,3.363624,1600,1
29/6/2020,4.78,4.78,4.53,4.53,3.560097,1400,1
30/6/2020,4.68,4.96,4.68,4.96,3.898031,400,1
1/7/2020,4.79,4.99,4.79,4.99,3.921608,500,0
2/7/2020,3.75,5,3.75,4.8,3.772288,2000,1
6/7/2020,3.16,5.5,3.16,5.5,4.322413,9800,0
7/7/2020,4.42,4.42,4.42,4.42,3.473649,200,1
8/7/2020,4.3,5.4,4.29,5.4,4.243824,1500,0
9/7/2020,4.85,5,4.28,4.86,3.819442,2700,0
10/7/2020,4.86,4.86,4.86,4.86,3.819442,0,0
13/7/2020,4.86,4.86,4.86,4.86,3.819442,0,0
14/7/2020,4.35,4.35,4.35,4.35,3.418636,200,0
15/7/2020,4.35,4.35,4.25,4.25,3.340047,500,0
16/7/2020,3.75,4.2,3.75,4.2,3.300752,1800,0
17/7/2020,4.4,4.4,3.72,3.72,2.923523,600,1
20/7/2020,4.35,5.2,4.35,5.2,4.086645,900,0
21/7/2020,4.13,4.13,4.13,4.13,3.24574,200,0
22/7/2020,3.11,3.11,3.11,3.11,2.444128,6100,0
23/7/2020,3.11,3.11,3.11,3.11,2.444128,0,1
24/7/2020,4.25,4.25,3.6,3.7,2.907805,700,0
27/7/2020,3.7,3.7,3.7,3.7,2.907805,0,0
28/7/2020,3.7,3.7,3.7,3.7,2.907805,0,0
29/7/2020,3.7,3.7,3.7,3.7,2.907805,0,0
30/7/2020,3.7,3.7,3.7,3.7,2.907805,0,1
31/7/2020,4.25,4.25,4.25,4.25,3.340047,100,0
3/8/2020,4.25,4.25,3.79,4.05,3.182868,3300,0
4/8/2020,3.99,3.99,3.99,3.99,3.135715,0,0
5/8/2020,3.4,3.98,3.4,3.98,3.127856,27900,0
6/8/2020,3.97,3.97,3.59,3.81,2.994253,2700,0
7/8/2020,3.81,3.81,3.81,3.81,2.994253,0,0
10/8/2020,3.81,3.81,3.81,3.81,2.994253,0,0
11/8/2020,3.59,3.59,3.57,3.57,2.805639,5400,1
12/8/2020,3.7,3.7,3.3,3.7,2.907805,17300,1
13/8/2020,4.19,4.19,4.19,4.19,3.292893,200,0
14/8/2020,3.5,3.5,3.5,3.5,2.750627,200,1
17/8/2020,4.13,4.13,3.72,3.72,2.923523,2800,0
18/8/2020,3.72,3.72,3.72,3.72,2.923523,100,0
19/8/2020,3.72,3.72,3.72,3.72,2.923523,0,0
20/8/2020,3.73,3.73,3.51,3.51,2.758486,3800,0
21/8/2020,3.51,3.51,3.51,3.51,2.758486,0,0
24/8/2020,3.49,3.49,3.29,3.29,2.585589,4700,1
25/8/2020,3.31,4.14,3.31,4.14,3.253598,3300,0
